# Positions apparentes géocentriques des quatre planètes de navigation.
# Source : JPL Horizons (ssd.jpl.nasa.gov), quantité 2 — apparentes, sans réfraction.
# Récupéré le 2026-08-20 par tools/fetch-planet-reference.mjs.
# Instants en UTC ; ra et dec en degrés, équinoxe et équateur de la date.
body;utc;ra_deg;dec_deg
Jupiter;1950-04-01T00:00:00Z;329.665266;-13.134902
Jupiter;1950-05-16T00:00:00Z;336.937845;-10.592558
Jupiter;1950-06-30T00:00:00Z;339.545390;-9.793314
Jupiter;1950-08-14T00:00:00Z;336.436035;-11.204651
Jupiter;1950-09-28T00:00:00Z;331.331143;-13.138446
Jupiter;1950-11-12T00:00:00Z;330.765402;-13.225585
Jupiter;2000-01-01T00:00:00Z;23.849991;8.584590
Jupiter;2000-02-15T00:00:00Z;28.304103;10.486138
Jupiter;2000-03-31T00:00:00Z;36.865924;13.604907
Jupiter;2000-05-15T00:00:00Z;47.292360;16.781769
Jupiter;2000-06-29T00:00:00Z;57.721896;19.269691
Jupiter;2000-08-13T00:00:00Z;66.113111;20.742814
Jupiter;2000-09-27T00:00:00Z;69.805444;21.207749
Jupiter;2000-11-11T00:00:00Z;66.817508;20.775891
Jupiter;2026-01-01T00:00:00Z;113.124332;21.979136
Jupiter;2026-02-15T00:00:00Z;107.429664;22.800839
Jupiter;2026-04-01T00:00:00Z;107.167252;22.874035
Jupiter;2026-05-16T00:00:00Z;113.000493;22.160436
Jupiter;2026-06-30T00:00:00Z;122.225490;20.588265
Jupiter;2026-08-14T00:00:00Z;132.411140;18.264826
Jupiter;2026-09-28T00:00:00Z;141.663129;15.671817
Jupiter;2026-11-12T00:00:00Z;148.030003;13.702073
Jupiter;2050-01-01T00:00:00Z;124.044887;20.223306
Jupiter;2050-02-15T00:00:00Z;118.163315;21.467459
Jupiter;2050-04-01T00:00:00Z;116.547454;21.766535
Jupiter;2050-05-16T00:00:00Z;121.185054;20.921772
Jupiter;2050-06-30T00:00:00Z;129.665272;19.051078
Jupiter;2050-08-14T00:00:00Z;139.495700;16.378574
Jupiter;2050-09-28T00:00:00Z;148.789552;13.413460
Jupiter;2050-11-12T00:00:00Z;155.697365;11.023552
Jupiter;2100-01-01T00:00:00Z;200.078215;-7.085322
Jupiter;2100-02-15T00:00:00Z;201.931406;-7.624065
Jupiter;2100-04-01T00:00:00Z;198.364198;-6.070492
Jupiter;2100-05-16T00:00:00Z;193.665738;-4.217503
Jupiter;2100-06-30T00:00:00Z;193.311580;-4.275179
Jupiter;2100-08-14T00:00:00Z;197.948575;-6.368524
Jupiter;2100-09-28T00:00:00Z;205.815403;-9.566198
Jupiter;2100-11-12T00:00:00Z;215.111442;-12.923324
Saturn;1900-01-01T00:00:00Z;267.530235;-22.424387
Saturn;1900-02-15T00:00:00Z;272.587335;-22.434821
Saturn;1900-04-01T00:00:00Z;275.289891;-22.349668
Saturn;1900-05-16T00:00:00Z;274.596747;-22.359370
Saturn;1900-06-30T00:00:00Z;271.391579;-22.457651
Saturn;1900-08-14T00:00:00Z;268.637142;-22.554190
Saturn;1900-09-28T00:00:00Z;268.863601;-22.673110
Saturn;1900-11-12T00:00:00Z;272.323464;-22.759197
Saturn;1950-01-01T00:00:00Z;171.083466;6.027992
Saturn;1950-02-15T00:00:00Z;169.455677;6.906879
Saturn;1950-04-01T00:00:00Z;166.292805;8.275333
Saturn;1950-05-16T00:00:00Z;164.764112;8.806412
Saturn;1950-06-30T00:00:00Z;166.326724;8.029954
Saturn;1950-08-14T00:00:00Z;170.329750;6.273135
Saturn;1950-09-28T00:00:00Z;175.413852;4.109871
Saturn;1950-11-12T00:00:00Z;180.103124;2.193269
Saturn;2000-01-01T00:00:00Z;38.776067;12.615676
Saturn;2000-02-15T00:00:00Z;39.612111;13.109267
Saturn;2000-03-31T00:00:00Z;43.542652;14.470862
Saturn;2000-05-15T00:00:00Z;49.091720;16.073892
Saturn;2000-06-29T00:00:00Z;54.612259;17.390508
Saturn;2000-08-13T00:00:00Z;58.454739;18.109347
Saturn;2000-09-27T00:00:00Z;59.133255;18.106957
Saturn;2000-11-11T00:00:00Z;56.472203;17.490836
Saturn;2026-01-01T00:00:00Z;357.380959;-3.596395
Saturn;2026-02-15T00:00:00Z;0.954949;-1.926561
Saturn;2026-04-01T00:00:00Z;5.935575;0.249312
Saturn;2026-05-16T00:00:00Z;10.752238;2.223555
Saturn;2026-06-30T00:00:00Z;13.940404;3.384408
Saturn;2026-08-14T00:00:00Z;14.322482;3.321515
Saturn;2026-09-28T00:00:00Z;11.921043;2.175454
Saturn;2026-11-12T00:00:00Z;9.007602;0.995686
Saturn;2050-01-01T00:00:00Z;299.689189;-20.838733
Saturn;2050-02-15T00:00:00Z;305.201412;-19.766560
Saturn;2050-04-01T00:00:00Z;309.622380;-18.799396
Saturn;2050-05-16T00:00:00Z;311.462065;-18.421375
Saturn;2050-06-30T00:00:00Z;310.104470;-18.861061
Saturn;2050-08-14T00:00:00Z;306.859672;-19.714617
Saturn;2050-09-28T00:00:00Z;304.745112;-20.223736
Saturn;2050-11-12T00:00:00Z;305.821212;-19.998558
Saturn;2100-01-01T00:00:00Z;204.650276;-7.646800
Saturn;2100-02-15T00:00:00Z;205.580145;-7.788888
Saturn;2100-04-01T00:00:00Z;203.472993;-6.829768
Saturn;2100-05-16T00:00:00Z;200.450304;-5.676906
Saturn;2100-06-30T00:00:00Z;199.388747;-5.436481
Saturn;2100-08-14T00:00:00Z;201.297342;-6.394108
Saturn;2100-09-28T00:00:00Z;205.468341;-8.132840
Saturn;2100-11-12T00:00:00Z;210.571305;-10.030749
